time|rssi|gwlat|gwlon|nodelat|nodelon|eui|id
2021-07-14T12:04:31.997808Z|-67|31.828452|-7.323349|31.828819|-7.322423|0938403287238409|gateway2|
2021-07-14T12:05:31.663347Z|-110|32.1312|-7.40094|31.828776|-7.322758|0840383045839032|gateway1|
2021-07-14T12:05:31.998611Z|-68|31.828452|-7.323349|31.828776|-7.322758|0938403287238409|gateway2|
2021-07-14T12:06:31.667743Z|-115|32.1312|-7.40094|31.828805|-7.322943|0840383045839032|gateway1|
2021-07-14T12:07:31.997917Z|-68|31.828452|-7.323349|31.828791|-7.322754|0938403287238409|gateway2|
2021-07-14T12:08:31.662950Z|-109|32.1312|-7.40094|31.82874|-7.322942|0840383045839032|gateway1|
2021-07-14T12:08:31.996883Z|-67|31.828452|-7.323349|31.82874|-7.322942|0938403287238409|gateway2|
2021-07-14T12:09:31.662331Z|-114|32.1312|-7.40094|31.828672|-7.322896|0840383045839032|gateway1|
2021-08-14T12:09:31.995719Z|-71|31.828452|-7.323349|31.828672|-7.322896|0938403287238409|gateway2|
2021-08-14T12:10:31.666758Z|-111|32.1312|-7.40094|31.828725|-7.322901|0840383045839032|gateway1|
2021-08-14T12:10:32.000299Z|-66|31.828452|-7.323349|31.828725|-7.322901|0938403287238409|gateway2|
2021-08-14T12:11:31.663058Z|-110|32.1312|-7.40094|31.828742|-7.322885|0840383045839032|gateway1|
2021-08-14T12:11:31.995079Z|-65|31.828452|-7.323349|31.828742|-7.322885|0938403287238409|gateway2|
2021-08-14T12:12:31.994788Z|-68|31.828452|-7.323349|31.828661|-7.322833|0938403287238409|gateway2|
2021-08-14T12:13:31.995020Z|-67|31.828452|-7.323349|31.828733|-7.322834|0938403287238409|gateway2|
2021-08-14T12:14:31.691473Z|-114|32.1312|-7.40094|31.828792|-7.323017|0840383045839032|gateway1|
2021-08-14T12:14:32.023152Z|-67|31.828452|-7.323349|31.828792|-7.323017|0938403287238409|gateway2|
2021-08-14T12:15:31.662803Z|-111|32.1312|-7.40094|31.82879|-7.322957|0840383045839032|gateway1|
2021-08-14T12:15:31.994502Z|-66|31.828452|-7.323349|31.82879|-7.322957|0938403287238409|gateway2|
2021-08-14T12:16:32.007223Z|-69|31.828452|-7.323349|31.828752|-7.322826|0938403287238409|gateway2|
2021-08-14T12:17:31.993766Z|-68|31.828452|-7.323349|31.828737|-7.322866|0938403287238409|gateway2|
2021-08-14T12:18:31.662513Z|-114|32.1312|-7.40094|31.828745|-7.322937|0840383045839032|gateway1|
2021-08-14T12:18:31.992472Z|-67|31.828452|-7.323349|31.828745|-7.322937|0938403287238409|gateway2|
2021-08-14T12:19:31.675370Z|-111|32.1312|-7.40094|31.828724|-7.322886|0840383045839032|gateway1|
2021-08-14T12:19:32.006233Z|-69|31.828452|-7.323349|31.828724|-7.322886|0938403287238409|gateway2|
2021-08-14T12:20:31.667935Z|-111|32.1312|-7.40094|31.828739|-7.322729|0840383045839032|gateway1|
2021-08-14T12:20:31.997165Z|-63|31.828452|-7.323349|31.828739|-7.322729|0938403287238409|gateway2|
2021-08-14T12:21:31.667223Z|-110|32.1312|-7.40094|31.828772|-7.322962|0840383045839032|gateway1|
2021-08-14T12:21:31.995686Z|-66|31.828452|-7.323349|31.828772|-7.322962|0938403287238409|gateway2|
2021-08-14T14:20:38.486817Z|-95|32.1312|-7.40094|31.829315|-7.323679|0840383045839032|gateway1|
2021-08-14T14:20:38.770079Z|-87|31.828452|-7.323349|31.829315|-7.323679|0938403287238409|gateway2|
2021-08-14T14:21:38.768714Z|-67|31.828452|-7.323349|31.829652|-7.322942|0938403287238409|gateway2|
2021-08-14T14:22:38.489753Z|-113|32.1312|-7.40094|31.829655|-7.322955|0840383045839032|gateway1|
2021-08-14T14:22:38.772554Z|-74|31.828452|-7.323349|31.829655|-7.322955|0938403287238409|gateway2|
2021-08-14T14:23:38.486396Z|-101|32.1312|-7.40094|31.829648|-7.322957|0840383045839032|gateway1|
2021-08-14T14:23:38.768990Z|-71|31.828452|-7.323349|31.829648|-7.322957|0938403287238409|gateway2|
2021-08-14T14:28:05.735834Z|-89|31.828452|-7.323349|31.82975|-7.316487|0938403287238409|gateway2|
2021-08-14T14:28:05.455743Z|-89|32.1312|-7.40094|31.82975|-7.316487|0840383045839032|gateway1|
2021-08-14T14:28:12.991912Z|-89|31.828452|-7.323349|31.829404|-7.31424|0938403287238409|gateway2|
2021-08-14T14:28:38.549080Z|-97|31.828452|-7.323349|31.830364|-7.318406|0938403287238409|gateway2|
2021-08-14T14:28:38.269681Z|-92|32.1312|-7.40094|31.830364|-7.318406|0840383045839032|gateway1|
2021-08-14T14:29:38.265612Z|-90|32.1312|-7.40094|31.831079|-7.318039|0840383045839032|gateway1|
2021-08-14T14:29:38.545968Z|-98|31.828452|-7.323349|31.831079|-7.318039|0938403287238409|gateway2|
2021-08-14T14:31:38.266867Z|-114|32.1312|-7.40094|31.836592|-7.318734|0840383045839032|gateway1|
2021-08-14T14:32:38.266111Z|-89|32.1312|-7.40094|31.837742|-7.318244|0840383045839032|gateway1|
2021-08-14T14:33:38.283306Z|-87|32.1312|-7.40094|31.83928|-7.31652|0840383045839032|gateway1|
2021-08-14T14:33:38.561228Z|-104|31.828452|-7.323349|31.83928|-7.31652|0938403287238409|gateway2|
2021-08-14T14:41:02.840813Z|-99|32.1312|-7.40094|31.841013|-7.312602|0840383045839032|gateway1|
2021-08-14T14:41:03.115502Z|-117|31.828452|-7.323349|31.841013|-7.312602|0938403287238409|gateway2|
2021-08-14T14:42:02.841054Z|-98|32.1312|-7.40094|31.841932|-7.309961|0840383045839032|gateway1|
2021-08-14T14:43:02.844224Z|-99|32.1312|-7.40094|31.843311|-7.308149|0840383045839032|gateway1|
2021-08-14T14:44:03.114660Z|-101|31.828452|-7.323349|31.843618|-7.306513|0938403287238409|gateway2|
2021-08-14T14:44:02.841284Z|-93|32.1312|-7.40094|31.843618|-7.306513|0840383045839032|gateway1|
2021-08-14T14:46:02.841039Z|-91|32.1312|-7.40094|31.844908|-7.302018|0840383045839032|gateway1|
2021-08-14T14:47:02.841035Z|-97|32.1312|-7.40094|31.846407|-7.301219|0840383045839032|gateway1|
2021-08-14T14:48:02.840907Z|-99|32.1312|-7.40094|31.846623|-7.300344|0840383045839032|gateway1|
2021-08-14T14:48:03.113561Z|-112|31.828452|-7.323349|31.846623|-7.300344|0938403287238409|gateway2|
2021-08-14T14:50:02.844227Z|-98|32.1312|-7.40094|31.843371|-7.305793|0840383045839032|gateway1|
2021-08-14T14:53:03.111388Z|-114|31.828452|-7.323349|31.84029|-7.308885|0938403287238409|gateway2|
2021-08-14T14:53:02.841176Z|-95|32.1312|-7.40094|31.84029|-7.308885|0840383045839032|gateway1|
2021-08-14T14:54:02.841525Z|-97|32.1312|-7.40094|31.840235|-7.304482|0840383045839032|gateway1|
2021-08-14T14:55:02.840930Z|-105|32.1312|-7.40094|31.836674|-7.30004|0840383045839032|gateway1|
2021-08-14T14:57:03.109514Z|-115|31.828452|-7.323349|31.837818|-7.294234|0938403287238409|gateway2|
2021-08-14T14:57:02.841617Z|-109|32.1312|-7.40094|31.837818|-7.294234|0840383045839032|gateway1|
2021-08-14T15:27:56.778549Z|-114|32.1312|-7.40094|31.837774|-7.294356|0840383045839032|gateway1|
2021-08-14T15:27:57.035078Z|-116|31.828452|-7.323349|31.837774|-7.294356|0938403287238409|gateway2|
2021-08-14T15:29:56.781939Z|-93|32.1312|-7.40094|31.838607|-7.294781|0840383045839032|gateway1|
2021-08-14T15:29:57.037305Z|-110|31.828452|-7.323349|31.838607|-7.294781|0938403287238409|gateway2|
2021-08-14T15:30:56.778993Z|-113|32.1312|-7.40094|31.837608|-7.298803|0840383045839032|gateway1|
2021-08-14T15:33:56.778829Z|-95|32.1312|-7.40094|31.840175|-7.314877|0840383045839032|gateway1|
2021-08-14T15:34:56.779338Z|-109|32.1312|-7.40094|31.838757|-7.31657|0840383045839032|gateway1|
2021-08-14T15:34:57.032255Z|-109|31.828452|-7.323349|31.838757|-7.31657|0938403287238409|gateway2|
2021-08-14T15:35:57.031645Z|-107|31.828452|-7.323349|31.837366|-7.318862|0938403287238409|gateway2|
2021-08-14T15:36:57.034197Z|-103|31.828452|-7.323349|31.835465|-7.318783|0938403287238409|gateway2|
2021-08-14T15:37:56.778643Z|-98|32.1312|-7.40094|31.832921|-7.317296|0840383045839032|gateway1|
2021-08-14T15:37:57.030306Z|-111|31.828452|-7.323349|31.832921|-7.317296|0938403287238409|gateway2|
2021-08-14T15:38:56.779522Z|-98|32.1312|-7.40094|31.83031|-7.319019|0840383045839032|gateway1|
2021-08-14T15:39:56.778930Z|-97|32.1312|-7.40094|31.829071|-7.32154|0840383045839032|gateway1|
2021-08-14T15:39:57.029702Z|-63|31.828452|-7.323349|31.829071|-7.32154|0938403287238409|gateway2|
2021-08-14T15:40:56.779285Z|-108|32.1312|-7.40094|31.828657|-7.323439|0840383045839032|gateway1|
2021-08-14T15:41:57.029355Z|-83|31.828452|-7.323349|31.82868|-7.323205|0938403287238409|gateway2|
2021-08-14T15:42:57.029340Z|-80|31.828452|-7.323349|31.828687|-7.323186|0938403287238409|gateway2|
2021-08-14T15:43:57.028592Z|-79|31.828452|-7.323349|31.829829|-7.323002|0938403287238409|gateway2|
2021-08-14T15:44:56.779044Z|-101|32.1312|-7.40094|31.828525|-7.327061|0840383045839032|gateway1|
2021-08-14T15:44:57.028025Z|-83|31.828452|-7.323349|31.828525|-7.327061|0938403287238409|gateway2|
2021-08-14T15:45:57.027180Z|-111|31.828452|-7.323349|31.826131|-7.333118|0938403287238409|gateway2|
2021-08-14T15:47:57.029926Z|-116|31.828452|-7.323349|31.829072|-7.343262|0938403287238409|gateway2|
2021-08-14T15:47:56.783073Z|-92|32.1312|-7.40094|31.829072|-7.343262|0840383045839032|gateway1|
2021-08-14T15:51:28.412178Z|-99|32.1312|-7.40094|31.826513|-7.358303|0840383045839032|gateway1|
2021-08-14T15:51:35.084324Z|-90|32.1312|-7.40094|31.823997|-7.352081|0840383045839032|gateway1|
2021-08-14T15:56:11.113194Z|-103|32.1312|-7.40094|31.8468|-7.354335|0840383045839032|gateway1|
2021-08-14T15:57:11.113935Z|-99|32.1312|-7.40094|31.851352|-7.355363|0840383045839032|gateway1|
2021-08-14T15:59:11.117041Z|-97|32.1312|-7.40094|31.860921|-7.358387|0840383045839032|gateway1|
2021-08-14T16:01:11.113066Z|-90|32.1312|-7.40094|31.859242|-7.357068|0840383045839032|gateway1|
2021-08-14T16:02:11.113436Z|-99|32.1312|-7.40094|31.853619|-7.355063|0840383045839032|gateway1|
2021-08-14T16:03:11.113427Z|-103|32.1312|-7.40094|31.848446|-7.354422|0840383045839032|gateway1|
2021-08-14T16:07:11.113462Z|-97|32.1312|-7.40094|31.826641|-7.3648|0840383045839032|gateway1|
2021-08-14T16:07:11.353302Z|-117|31.828452|-7.323349|31.826641|-7.3648|0938403287238409|gateway2|
2021-08-14T16:08:11.113681Z|-89|32.1312|-7.40094|31.826629|-7.355823|0840383045839032|gateway1|
2021-08-14T16:10:11.117623Z|-89|32.1312|-7.40094|31.830224|-7.343826|0840383045839032|gateway1|
2021-08-14T16:11:11.113444Z|-99|32.1312|-7.40094|31.829249|-7.340969|0840383045839032|gateway1|
2021-08-14T16:11:11.352721Z|-107|31.828452|-7.323349|31.829249|-7.340969|0938403287238409|gateway2|
2021-08-14T16:12:11.114030Z|-92|32.1312|-7.40094|31.827896|-7.334835|0840383045839032|gateway1|
2021-08-14T16:12:11.352584Z|-117|31.828452|-7.323349|31.827896|-7.334835|0938403287238409|gateway2|
